osmid,safety_tag_value,is_lit,polyline6
"691246480,154540866",1,0,mmj`}xwIaz`zsyr]rlfrNx|lcV_ru_St~awU
"1056950194,1056950195",1,1,mmj`}xwIaz`zsyr]p}ynMshuhCjldgp@_zo{u@rs{`]oz_sb@tmnoA_lq~Abie_XmyycZhgj_\mjvb\|oaoc@amqbb@xhsj_@_ay~\dzesQs}_eP
4276799,2,1,wcl}vryIuaug`ms]{w_cVqdpecB
657654911,3,1,wcl}vryIuaug`ms]|i~uSobtbC
657654911,2,1,wcl}vryIuaug`ms]om|nbAnykaT{dvexAfupkc@
4276799,1,0,s|lansyIggfndps]zw_cVpdpecB
4276799,1,0,s|lansyIggfndps]{ghqFkpb_`@rxm_@i}wlC
553533326,2,1,s|lansyIggfndps]twjvUoqdcDoz|i@kkhh[
657654911,1,0,yxlfbryIeejkdms]}i~uSnbtbC
970136994,3,0,yxlfbryIeejkdms]pwrxAvxcsF
657654911,3,1,yxlfbryIeejkdms]v{mwNmk|vAvg_`Rasq}@~_teS`ixBr}l}UzynI
29155571,1,0,cx`tswyI}pvxfks]wqvbF~ybtJ
1465149990,1,0,cx`tswyI}pvxfks]hzyq@tdykG
657654911,1,1,cx`tswyI}pvxfks]zdvexAgupkc@nm|nbAoykaT
"1171507736,657654911",1,1,cx`tswyI}pvxfks]wcqa_Afjc}T{ye|]pwlsIo|akZ`relHw~p~EdmblAsixrDfp`}@
657654911,3,0,sfhpkmyIadtatls]naynB~csk@
657654911,1,1,sfhpkmyIadtatls]}vsqNkgbmCkicgU}xkcGusxkMuqhyByplqKopf_Bgcq|Feuzc@
754767528,4,1,sfhpkmyIadtatls]__q|@a}jnKodz`Bwn{i_B{nsGexi}N}v~Hgim_C
29156029,3,0,cdn`hmyIa_`urls]y|`gB~fwiG
657654911,3,0,cdn`hmyIa_`urls]xa_}D|}gjA
657654911,1,0,cdn`hmyIa_`urls]oaynB_dsk@
23281567,3,1,uszgtoyIw`qshms]aj|tGmhntrAqqxgBycalU
657654911,3,1,uszgtoyIw`qshms]fcq|Fduzc@xplqKnpf_BtsxkMtqhyBjicgU|xkcG|vsqNjgbmC
657654911,1,1,uszgtoyIw`qshms]s}l}U{ynI_`teSaixBwg_`R`sq}@w{mwNlk|vA
"29217600,523400976",3,1,}sibqmyIiuuztps]ysfb}@hpdu@qg_`P~slM
754767528,3,1,}sibqmyIiuuztps]|iiZmul~e@nepQ_bfnh@bgyxC_u_ql@
754767528,1,1,}sibqmyIiuuztps]|v~Hfim_CznsGdxi}Nndz`Bvn{i_B~~p|@`}jnK
8370285,3,1,cr~rmgyIqint`ms]_jiv@~l}gFwjcfCvfzyEo|dwM~dhdHe~m{I|fr{DapbrS`gflEsvxlL~z`uAeuraOzamxA_lqeXhfk`A_yi`Xa}qr@
657654911,1,1,cr~rmgyIqint`ms]qlje`@|`s{IiogwHpgxvAqhvlPnmsfBmvgh^||pdB_ypxT~u~WgafgTsofNmmifYcoxp@sdwoRwbzmA
1465149985,3,1,cr~rmgyIqint`ms]tjdjFss}dBt{ivLapveD
200082635,3,0,mkpqqkyIuugdwks]qiuvB~|meB
8370285,1,1,mkpqqkyIuugdwks]~xi`X`}qr@~kqeXifk`AduraO{amxArvxlL_{`uA`pbrSagflEd~m{I}fr{Dn|dwM_ehdHvjcfCwfzyE~iiv@_m}gF
28334550,3,1,mkpqqkyIuugdwks]}obwRc_zlFeabaSormiEef}sEwcyzB
657654911,1,0,ianbbmyIc`wipls]ya_}D}}gjA
1456247625,3,0,ianbbmyIc`wipls]pzw`A`qjpF
657654911,3,1,ianbbmyIc`wipls]rdwoRvbzmAlmifYboxp@fafgTrofN~xpxT_v~Wlvgh^}|pdBphvlPomsfBhogwHqgxvAplje`@}`s{I
28334549,3,1,winpxfyIgodaims]tqmwKxrg{^nwj_@xn`~BpsgbFbgna_@fpcfCvtk{P
"1465149985,200082625",3,1,winpxfyIgodaims]hjbq@{ol`@~h`oJwjfeDtvrp]}x{kK~wedO{|wsC`yqqVmlxeC
1465149985,1,1,winpxfyIgodaims]u{ivL`pveDujdjFrs}dB
684277780,6,1,iqonf}xI}dnxqos]fnbuNgjn{T
24454941,4,1,iqonf}xI}dnxqos]a}ne`@entwYun_fx@wed|x@_pb{Dk{`}D
1465149998,7,0,iqonf}xI}dnxqos]uoydNn`}hRgx_pQ|perQixdsHzt`vGqylzDdzgcDkfemDtwkuC
684277780,1,1,ablxv|xIep}tgps]gnbuNfjn{T
684277780,6,0,ablxv|xIep}tgps]z`bnCqcdfE
29217355,6,0,ablxv|xIep}tgps]yckz\iwziRsbqpG{fbjGklmxLuqg|a@
23294420,3,1,apcxf`yIgwjllrs]_~yu\faxa[qjec]h`_k[o`j~h@bqxag@_p|_B~sfoCcefbBtmlvEm}h`Arub~C
24454941,1,1,apcxf`yIgwjllrs]~ob{Dj{`}Dtn_fx@ved|x@`}ne`@dntwY
"128847849,128847850",3,1,apcxf`yIgwjllrs]dhjg@q~leA_zsTydvhBizi}k@kqbde@gattOuasgM
1465149998,6,0,ovdc}~xIwgriyms]a`zpWv_rfT
"1046350856,1046350854,1046350855",6,0,ovdc}~xIwgriyms]vslfE~bojFdvkqCxuczH~gh_Ch_}mAgkaUpgk~A{xsq@vc~_G
"570239729,1046350854",6,0,ovdc}~xIwgriyms]w{oaEkjudFemzz@ioey@i|`yHrv{hF
1465149998,1,0,ovdc}~xIwgriyms]jfemDuwkuCpylzDezgcDhxdsH{t`vGfx_pQ}perQtoydNo`}hR
