osmid,safety_tag_value,is_lit
1357564341,5,0
474189878,1,0
1515169091,3,0
"474189878,1515049375",3,0
561379442,1,0
1513935116,4,0
"1515049368,1515049388",4,0
4254074,5,0
1357564341,1,0
1357564342,4,0
"10602441,1428814183",5,0
89173833,5,0
89173833,1,0
"1433214515,1433214516",5,0
"545679488,1433214516",5,0
4259010,5,0
4259010,1,0
"4259010,109850052,109850053",1,0
"1433214513,1433214514",5,0
"1433214514,1433214515",5,0
706507525,6,0
706507525,1,0
977573564,6,0
2372215,5,0
"706507525,511789325",5,0
"871359465,511789326",5,0
23081421,5,0
2372215,1,0
865785905,5,0
"511789325,706507525",1,0
706507525,5,0
1442926202,5,1
38809706,5,0
"871359465,511789326",1,0
"1434872393,1442926202",5,1
23081421,1,0
977836369,5,0
23081421,4,0
977836369,5,1
58603086,5,0
706490843,5,0
"997074158,997074159",5,0
"997074158,997074159",1,0
"997074944,552719903",5,0
"1435058104,1435058105",5,0
"1435058104,1428375774",5,0
48379508,5,0
129382788,5,0
"930443768,930443769,18309853",5,1
1383267917,6,1
48379508,1,0
129382787,5,0
849284648,5,0
930443765,5,0
129382788,1,0
18309853,6,0
"930443768,930443769,18309853",1,1
"583191536,583191471",5,0
1383267917,8,1
1383267917,1,1
"1383303234,1383303235,1383303236,1383303237,24004153",7,1
4366252,6,0
723924918,6,0
865065057,6,0
4366252,1,0
4366252,5,1
"8373560,1065195092",4,0
723924918,7,1
723924918,1,1
211479028,6,0
865065057,1,0
"865065057,1394862729,1394862730,1394862731,18309854",8,1
"1372445738,1372445739,1372445740",5,1
1430670718,6,1
4366252,1,1
"939567194,24442732",7,1
211488543,5,0
1430670718,1,0
"4680844,1430670718",5,0
4366252,6,1
1065195095,5,0
"939567194,24442732",1,1
129377897,6,1
129377897,1,1
"1021768836,1430642726",6,1
"1430642728,1021768834,1021768835,1021768836",6,0
26747624,7,1
882850173,7,0
"727187705,4366227",8,1
26747624,1,1
882850173,1,0
"4281459,882850173",7,1
"1372444836,1372444837,1372444838",7,0
723924918,8,1
"1065195098,1065195099,1065195100",7,0
"727187705,4366227",1,0
670639403,8,1
"1430670720,1067121890",7,0
"1087555788,1209427460,1209427461",6,1
558603482,7,0
3996990,8,1
"602799890,865425461",7,0
558603482,1,0
"1430630771,1430642725",5,1
72056629,8,0
3996990,1,1
1430645386,7,0
"862523826,865425461",6,1
"602799890,865425461",1,0
"1430645378,1430645383,1430645384,1430645385,1430645386,1430645387",5,1
327298836,5,1
327298836,1,1
327298836,5,0
"1156413296,1156413300",5,1
"1156413296,1156413297,1430664863,1156413295",5,0
26781001,6,0
26781001,1,0
26781001,1,1
"1430645380,1430645381,1430645382",6,1
"1430645379,1430645380",6,1
"609549098,35803710",4,0
"26710527,609549103",4,0
1067121886,4,0
554187296,4,0
"609549098,35803710",1,1
35803710,1,1
"554187296,609549100,609549101",4,1
"609549103,26710527",1,0
26710527,4,0
"1267764285,609549101",4,1
"554187296,609549100,609549101",1,0
"1067121887,497287410,1267764286,26780887",3,1
554187295,4,1
1067121886,1,0
"4711432,1272436197",5,0
4711432,5,1
"4711432,1272436197",1,0
1297157449,7,1
1297157449,5,1
574905548,6,0
574905548,1,0
"574905548,706482885",5,1
"1336943515,1300031421",7,1
"1300031420,1300031421",5,1
1150081720,4,0
816227970,4,0
953843282,4,0
1150081720,1,0
"1150081721,773028978",4,0
1442874032,4,0
946031725,4,0
816227970,1,0
816227970,5,0
773028978,3,0
