edge_id,osmid,u,v,lamp_count,lamp_per_km,is_lit
125,4255581,25498557,101966,5,30.20391542602557,1
126,4255582,25498557,25498555,4,30.09689489152315,1
127,956043073,101968,25498631,2,13.67433950015018,1
128,46102058,101968,25498562,4,72.69295389773937,1
129,157000735,101968,1427123964,0,0.0,0
130,1465149996,101968,1426991311,1,32.31311649764758,1
131,956043073,25498631,101968,2,13.67433950015018,1
132,4255594,25498631,13168819379,9,27.491015251816968,1
133,"956043073,1089300434,1089300435",25498631,1692355804,0,0.0,0
134,46102058,25498562,1236969407,0,0.0,0
135,4255540,25498562,25498560,4,32.62253490025373,1
136,46102058,25498562,101968,5,90.86619237217421,1
137,129325871,1427123964,1427123933,0,0.0,0
138,157000735,1427123964,1692355829,0,0.0,0
139,157000735,1427123964,101968,1,20.729381604775703,1
140,129317513,1426991311,1426991107,0,0.0,0
141,1465149996,1426991311,25498527,5,35.37885378536637,1
142,1465149996,1426991311,101968,1,32.31311649764758,1
143,1059988395,101975,9738697926,0,0.0,0
144,1059988395,9738697926,101975,0,0.0,0
145,1059988395,9738697926,12163618192,0,0.0,0
146,"1416351241,1314166041",9738697926,12941651893,1,12.824367961947493,1
147,"1416351240,1416351241",9738697926,12151570211,1,18.23235893934122,1
148,"1059988404,299392143",101977,5821555456,0,0.0,0
149,"1391460031,1089189873,299392143",5821555456,730929961,0,0.0,0
150,"1059988404,299392143",5821555456,101977,0,0.0,0
151,"816227969,816227971",5821555456,7623137697,0,0.0,0
152,"816227969,1336943514",5821555456,12163620370,0,0.0,0
153,4257259,103928,13847176071,0,0.0,0
154,4257259,13847176071,103928,0,0.0,0
155,1516695879,13847176071,12416627713,0,0.0,0
156,1516695879,13847176071,13847176072,0,0.0,0
157,4257259,13847176071,13847176072,0,0.0,0
158,2631259,104309,13842060051,0,0.0,0
159,"1006868256,954782756,975124070,975124074,954648754",104309,6943750668,1,20.54099467648885,1
160,"954648754,975124076,827537933",104309,8836172413,0,0.0,0
161,2631259,13842060051,13246508325,0,0.0,0
162,2631259,13842060051,104309,0,0.0,0
163,1515720987,13842060051,13842060037,0,0.0,0
164,"1515720987,1515720989",13842060051,13842060056,0,0.0,0
165,"954782754,1374513414,827537935",6943750668,104310,0,0.0,0
166,"1006868256,954782756,975124070,975124074,954648754",6943750668,104309,1,20.54099467648885,1
167,"1131416608,1131416609",6943750668,10547761262,0,0.0,0
168,"1131416608,1131416610,1131416611,1131416615",6943750668,10547761258,0,0.0,0
169,"954648754,975124076,827537933",8836172413,104309,0,0.0,0
170,"949246251,949246250,954782755,827537933",8836172413,6335504269,0,0.0,0
171,954648757,8836172413,13842060026,0,0.0,0
172,23235776,104310,9289220058,0,0.0,0
173,"975124064,975124065,954782754,827537936",104310,6943750661,0,0.0,0
174,"954782754,1374513414,827537935",104310,6943750668,0,0.0,0
175,23235776,9289220058,13838180925,0,0.0,0
176,1131418864,9289220058,10547759970,0,0.0,0
177,23235776,9289220058,104310,0,0.0,0
178,"1515070688,1515070687",9289220058,13838180926,0,0.0,0
179,82965853,6943750661,12745548342,0,0.0,0
180,827537936,6943750661,13838331474,0,0.0,0
181,"827537936,975124065,954782754,975124064",6943750661,104310,0,0.0,0
182,4257257,106201,13847176081,0,0.0,0
183,771096821,106201,294161405,0,0.0,0
184,771096825,106201,7198121177,0,0.0,0
185,4257257,13847176081,106201,0,0.0,0
186,4257257,13847176081,294158423,0,0.0,0
187,"1516695884,1516695885",13847176081,12336045028,0,0.0,0
188,"1517325488,1517325487",13847176081,13851315564,0,0.0,0
189,771096821,294161405,106201,0,0.0,0
190,"771096825,771096821",294161405,7198121177,0,0.0,0
191,"771096824,771096826,771096823",294161405,7198121177,0,0.0,0
192,437701279,7198121177,9383618272,0,0.0,0
193,"771096824,771096826,771096823",7198121177,294161405,0,0.0,0
194,"771096825,771096821",7198121177,294161405,0,0.0,0
195,771096825,7198121177,106201,0,0.0,0
196,9709379,106214,1427449267,0,0.0,0
197,129375495,106214,4544836447,0,0.0,0
198,"404014016,129375494,129375495",106214,1427449256,0,0.0,0
199,"1485868487,1485868486,129375495",4544836447,6952962804,0,0.0,0
200,129375495,4544836447,106214,0,0.0,0
201,568575661,4544836447,13842118442,0,0.0,0
202,129375497,1427449256,1427449254,0,0.0,0
203,"404014016,129375494,129375495",1427449256,106214,0,0.0,0
204,404014016,1427449256,292939261,0,0.0,0
205,4376579,107823,12437938219,0,0.0,0
206,4376579,12437938219,107823,0,0.0,0
207,"1344459970,1346432773",12437938219,12437938217,0,0.0,0
208,"1344459970,1346432772",12437938219,12437938213,0,0.0,0
209,1285025644,107830,11747638082,0,0.0,0
210,1285025644,11747638082,107830,0,0.0,0
211,1285025644,11747638082,11747638084,0,0.0,0
212,"1327443732,634363140",11747638082,5986763692,2,137.1941205960177,1
213,"1327443731,1327443732",11747638082,12280830498,0,0.0,0
214,"1327443733,1327443734",11747638082,5986781951,0,0.0,0
215,"634363123,1327443734",11747638082,5986763691,0,0.0,0
216,100009526,107857,12393556861,0,0.0,0
217,100009526,12393556861,107857,0,0.0,0
218,1513902793,12393556861,13830234105,0,0.0,0
219,100009526,12393556861,1156288959,0,0.0,0
220,1339818153,12393556861,6052618944,2,18.276863293875635,1
221,222742862,107864,12393556869,0,0.0,0
222,222742862,12393556869,107864,0,0.0,0
223,"1055909235,222742861,222742862",12393556869,2316821046,0,0.0,0
224,"1339818157,1339818158",12393556869,12393556871,0,0.0,0
225,"1339818153,1339818158",12393556869,12393556865,1,87.53060595851692,1
226,954782771,107866,9024001803,0,0.0,0
227,4592636,107866,13842488491,0,0.0,0
228,"1416630852,954782766,977103794,954782771,954782744",107866,6943650938,0,0.0,0
229,954782771,9024001803,107866,0,0.0,0
230,975124087,9024001803,13847349683,0,0.0,0
231,"954782745,975124086",9024001803,8837317619,0,0.0,0
232,4592636,13842488491,11863149,0,0.0,0
233,4592636,13842488491,107866,0,0.0,0
234,"1515821893,1515821894",13842488491,13842488489,0,0.0,0
235,"1515942088,1515911272",13842488491,13842944917,0,0.0,0
236,741737883,6943650938,13847349685,1,161.8951430163849,1
237,"975124085,954782766",6943650938,6943650946,0,0.0,0
238,"1416630852,954782766,977103794,954782771,954782744",6943650938,107866,0,0.0,0
239,495724026,107869,13851255569,0,0.0,0
240,724460083,107869,139622661,0,0.0,0
241,4255962,107869,12976064517,0,0.0,0
242,495724026,13851255569,107869,0,0.0,0
243,"4255960,495724025,495724026,1177427781",13851255569,13851255830,0,0.0,0
244,"1517306827,1517306877,1517306875",13851255569,13851255570,0,0.0,0
245,"1517306827,1517306876",13851255569,13851255865,0,0.0,0
246,724460083,139622661,107869,0,0.0,0
247,1145643041,139622661,13851255815,0,0.0,0
248,"724460083,207106607",139622661,8974650762,1,6.853416278274783,1
249,4255962,12976064517,25500410,0,0.0,0
250,4255962,12976064517,107869,0,0.0,0
251,"1433208880,1433208882",12976064517,13851255572,0,0.0,0
252,"1433208881,1433208882",12976064517,13851255578,0,0.0,0
253,17926243,107873,107876,0,0.0,0
254,495298307,107873,13842516719,0,0.0,0
255,886364501,107873,13842488474,0,0.0,0
256,17926243,107876,107873,0,0.0,0
257,"3098816,1177427779",107876,13842516721,0,0.0,0
258,"534676024,3100051,1177427780",107876,251336156,0,0.0,0
259,495298307,13842516719,107873,0,0.0,0
260,"303559642,1177427778,495298307",13842516719,13842516724,0,0.0,0
261,"1515821909,1515821910",13842516719,7512314852,0,0.0,0
262,886364501,13842488474,107873,0,0.0,0
263,886364501,13842488474,5118310122,0,0.0,0
264,1515821887,13842488474,13842488475,0,0.0,0
265,"1517265476,1515821887",13842488474,13842488472,0,0.0,0
266,"495298305,1177427779",13842516721,7526618770,0,0.0,0
267,"3098816,1177427779",13842516721,107876,0,0.0,0
268,"1515821912,1515821911",13842516721,13068318248,0,0.0,0
269,"1517306878,1517306879",13842516721,13851255876,0,0.0,0
270,534676023,251336156,13842488432,0,0.0,0
271,534676023,251336156,13851255829,0,0.0,0
272,"534676024,534676028",251336156,14790693,0,0.0,0
273,"534676024,3100051,1177427780",251336156,107876,0,0.0,0
274,49932184,107878,12912491647,0,0.0,0
275,1394960100,12912491647,12912491648,0,0.0,0
276,1394960100,12912491647,12677651240,0,0.0,0
277,49932184,12912491647,12912491641,0,0.0,0
278,49932184,12912491647,107878,0,0.0,0
279,4255963,107882,25500623,0,0.0,0
280,4256211,107882,12902099656,0,0.0,0
281,"4255963,207106607",107882,8974650762,0,0.0,0
282,4255963,25500623,107882,0,0.0,0
283,4255963,25500623,1230341090,0,0.0,0
284,4256212,25500623,12902099655,0,0.0,0
285,4256211,12902099656,107882,0,0.0,0
286,4256211,12902099656,25500620,0,0.0,0
287,1393874804,12902099656,13851255594,0,0.0,0
288,"1393874800,1393874804",12902099656,13851255592,0,0.0,0
289,969812577,8974650762,13851255834,0,0.0,0
290,969812577,8974650762,8974650758,0,0.0,0
291,"4255963,207106607",8974650762,107882,0,0.0,0
292,"724460083,207106607",8974650762,139622661,2,13.706832556549566,1
293,4255963,107884,12902102464,0,0.0,0
294,4255963,12902102464,107884,0,0.0,0
295,4255963,12902102464,1230341090,0,0.0,0
296,"1393856096,1433208881",12902102464,13172513285,0,0.0,0
297,"1393856096,1393856097",12902102464,13851255600,0,0.0,0
298,3754138,107889,9855996005,0,0.0,0
299,3754138,9855996005,107889,0,0.0,0
300,"109850072,3754138,109850082",9855996005,13852198017,0,0.0,0
301,"1433214512,1433214511",9855996005,13656029262,0,0.0,0
302,"1433214512,1433214513",9855996005,13656029265,0,0.0,0
303,109850082,107895,9855996001,0,0.0,0
304,109850082,9855996001,107895,0,0.0,0
305,109850082,9855996001,18674818,0,0.0,0
306,"1393856090,1393856091",9855996001,13656703236,0,0.0,0
307,"1393856091,1393856092",9855996001,13851206048,0,0.0,0
308,4253996,107981,8976643304,0,0.0,0
309,4253996,8976643304,13851287542,0,0.0,0
310,4253996,8976643304,107981,0,0.0,0
311,970035783,8976643304,8976643294,0,0.0,0
312,"1394960112,970035783",8976643304,12912491688,0,0.0,0
313,323105610,107986,12409510388,0,0.0,0
314,323105610,12409510388,107986,0,0.0,0
315,1339251243,12409510388,12388329161,2,14.233654598756555,1
316,"323105610,472368723,472368722",12409510388,3298964155,0,0.0,0
317,"1334583240,1339251243",12409510388,12346709477,0,0.0,0
318,1073694879,108003,5004406838,0,0.0,0
319,49934801,5004406838,9849094686,0,0.0,0
320,1073694879,5004406838,108003,0,0.0,0
321,970388080,5004406838,8980170556,0,0.0,0
322,4253271,108005,8140103954,0,0.0,0
323,868399925,108005,12384997302,0,0.0,0
324,505690876,108005,4955757612,0,0.0,0
325,4253271,8140103954,5376720653,0,0.0,0
326,4253271,8140103954,108005,0,0.0,0
327,"874423634,874423635,874423636,874423637,874423638",8140103954,8140103953,0,0.0,0
328,868399925,12384997302,294156913,0,0.0,0
329,868399925,12384997302,108005,0,0.0,0
330,1338916967,12384997302,12723986985,0,0.0,0
331,505690876,4955757612,108005,0,0.0,0
332,1232962030,108010,2451534388,0,0.0,0
333,237209965,2451534388,11438662060,1,27.033086371349793,1
334,237209965,2451534388,7195621933,1,107.22703325078767,1
335,1232962030,2451534388,108010,0,0.0,0
336,"4253497,1232962030",2451534388,3359694146,0,0.0,0
337,505690879,108017,12393471470,0,0.0,0
338,505690879,12393471470,108017,0,0.0,0
339,505690879,12393471470,4955757611,0,0.0,0
340,"1339806112,1339806111",12393471470,12393467742,2,28.34429166091554,1
341,"1339806109,1339806110,1339806111",12393471470,12393471468,0,0.0,0
342,4068456,108045,5811143787,0,0.0,0
343,4068456,5811143787,21533916,0,0.0,0
344,4068456,5811143787,108045,0,0.0,0
345,"1336857845,1336857846",5811143787,13830735807,0,0.0,0
346,"1338854654,1336857846",5811143787,13830735802,0,0.0,0
347,1356942915,108404,2117429475,0,0.0,0
348,95208509,2117429475,1104473061,0,0.0,0
349,1356942915,2117429475,108404,0,0.0,0
350,100451442,2117429475,1161243567,0,0.0,0
351,474189878,108906,12563565931,0,0.0,0
352,561379442,108906,13830469828,0,0.0,0
353,1357564341,108906,5299314662,0,0.0,0
354,474189878,12563565931,108906,0,0.0,0
355,1515169091,12563565931,13838614341,0,0.0,0
356,1515169091,12563565931,13830225780,0,0.0,0
357,"474189878,1515049375",12563565931,13835548568,0,0.0,0
358,561379442,13830469828,108906,0,0.0,0
359,561379442,13830469828,734770750,0,0.0,0
360,1513935116,13830469828,13842231301,0,0.0,0
361,"1515049368,1515049388",13830469828,13838008631,0,0.0,0
362,4254074,5299314662,13830469844,0,0.0,0
363,1357564341,5299314662,108906,0,0.0,0
364,1357564342,5299314662,12563565934,2,19.192100560584638,1
365,"10602441,1428814183",5299314662,13830234104,0,0.0,0
366,89173833,108944,5273685121,0,0.0,0
367,89173833,5273685121,108944,0,0.0,0
368,89173833,5273685121,1034393452,0,0.0,0
369,"1433214515,1433214516",5273685121,13656029284,0,0.0,0
370,"545679488,1433214516",5273685121,13656029294,0,0.0,0
371,4259010,108945,13172546241,0,0.0,0
372,4259010,13172546241,108945,0,0.0,0
373,"4259010,109850052,109850053",13172546241,13656029282,0,0.0,0
374,"1433214513,1433214514",13172546241,13656029268,0,0.0,0
375,"1433214514,1433214515",13172546241,13656029272,0,0.0,0
376,706507525,109149,7923628031,0,0.0,0
377,706507525,7923628031,109149,0,0.0,0
378,977573564,7923628031,13188863137,0,0.0,0
379,706507525,7923628031,9045551537,0,0.0,0
380,2372215,109150,109151,0,0.0,0
381,"706507525,511789325",109150,8070061698,0,0.0,0
382,"871359465,511789326",109150,4702541805,0,0.0,0
383,23081421,109151,6638760594,0,0.0,0
384,2372215,109151,6638760599,0,0.0,0
385,2372215,109151,109150,0,0.0,0
386,865785905,8070061698,13188863120,0,0.0,0
387,"511789325,706507525",8070061698,109150,0,0.0,0
388,706507525,8070061698,729647053,0,0.0,0
389,1442926202,4702541805,8070061708,1,146.65223040956954,1
390,38809706,4702541805,726040784,0,0.0,0
391,"871359465,511789326",4702541805,109150,0,0.0,0
392,"1434872393,1442926202",4702541805,13188863116,2,26.90020528984458,1
393,23081421,6638760594,109151,0,0.0,0
394,977836369,6638760594,13188863128,0,0.0,0
395,23081421,6638760594,249135988,0,0.0,0
396,977836369,6638760594,13188863134,2,20.112326579190242,1
397,58603086,6638760599,13188863115,0,0.0,0
398,706490843,6638760599,13188863128,0,0.0,0
399,2372215,6638760599,6638760602,0,0.0,0
400,2372215,6638760599,109151,0,0.0,0
401,"997074158,997074159",109152,1427522854,0,0.0,0
402,"997074158,997074159",1427522854,109152,0,0.0,0
403,"997074944,552719903",1427522854,726041000,0,0.0,0
404,"1435058104,1435058105",1427522854,13190367822,0,0.0,0
405,"1435058104,1428375774",1427522854,13131778952,0,0.0,0
406,48379508,109153,1427521713,0,0.0,0
407,129382788,109153,1427521696,0,0.0,0
408,"930443768,930443769,18309853",109153,5575778090,3,41.24532924801768,1
409,1383267917,109153,260283879,3,25.95858656483064,1
410,48379508,1427521713,109153,0,0.0,0
411,129382787,1427521713,1427521717,0,0.0,0
412,849284648,1427521713,8627296777,0,0.0,0
413,930443765,1427521713,8627296778,0,0.0,0
414,129382788,1427521696,109153,0,0.0,0
415,18309853,5575778090,25825458,0,0.0,0
416,"930443768,930443769,18309853",5575778090,109153,4,54.993772330690234,1
417,"583191536,583191471",5575778090,1427521710,0,0.0,0
418,1383267917,260283879,152234,2,50.189956012221316,1
419,1383267917,260283879,109153,3,25.95858656483064,1
420,"1383303234,1383303235,1383303236,1383303237,24004153",260283879,25831021,4,49.43207897493134,1
421,4366252,109155,300501989,0,0.0,0
422,723924918,109155,2214911761,0,0.0,0
423,865065057,109155,12707909123,0,0.0,0
424,4366252,300501989,109155,0,0.0,0
425,4366252,300501989,9782307453,2,29.334055354988934,1
426,"8373560,1065195092",300501989,5380348617,0,0.0,0
427,723924918,2214911761,9782307472,1,33.50726615382008,1
428,723924918,2214911761,109155,1,31.776168592761604,1
429,211479028,2214911761,2214911754,0,0.0,0
430,865065057,12707909123,109155,0,0.0,0
431,"865065057,1394862729,1394862730,1394862731,18309854",12707909123,9792201725,3,33.324308877014815,1
432,"1372445738,1372445739,1372445740",12707909123,12707909122,1,262.9428288970885,1
433,1430670718,109161,2214969021,0,0.0,0
434,4366252,109161,9782307453,3,33.761506218891945,1
435,"939567194,24442732",109161,5203475462,1,14.55447412434722,1
436,211488543,2214969021,13150846939,0,0.0,0
437,1430670718,2214969021,109161,1,16.293722126419574,1
438,"4680844,1430670718",2214969021,2214969018,0,0.0,0
439,4366252,9782307453,300501989,3,44.0010830324834,1
440,4366252,9782307453,109161,2,22.507670812594636,1
441,1065195095,9782307453,11196390951,0,0.0,0
442,"939567194,24442732",5203475462,109161,1,14.55447412434722,1
443,129377897,109165,1427483082,1,39.58780409128472,1
444,129377897,1427483082,109165,1,39.58780409128472,1
445,"1021768836,1430642726",1427483082,13150144082,1,29.463438864639993,1
446,"1430642728,1021768834,1021768835,1021768836",1427483082,13150144097,0,0.0,0
447,26747624,109167,12821398037,10,107.83392122803497,1
448,882850173,109167,12707862352,0,0.0,0
449,723924918,109167,9782307472,1,15.144394829047485,1
