edge_id,u,v,key,name,highway,length,crime_count,lamp_count,crime_per_km,lamp_per_km,is_lit
0,78112,13847176073,0,Cambridge Terrace,residential,8.450054493043584,0,0,0.0,0.0,0
1,13847176073,78112,0,Cambridge Terrace,residential,8.450054493043584,0,0,0.0,0.0,0
2,13847176073,13847176072,0,,footway,19.738368813331167,0,0,0.0,0.0,0
3,13847176073,13847176075,0,,footway,63.43349840016822,0,0,0.0,0.0,0
4,13847176073,13847176075,1,Cambridge Terrace,residential,85.95530817652656,12,0,139.60743384638423,0.0,0
5,101817,1427449277,0,Outer Circle,footway,29.74775176817973,0,0,0.0,0.0,0
6,101817,76587595,0,,footway,225.69236003392942,0,0,0.0,0.0,0
7,101817,1427449274,0,,footway,84.76685522958238,0,0,0.0,0.0,0
8,1427449277,13150846914,0,,footway,79.06297803902838,0,1,0.0,12.648144868845737,1
9,1427449277,101817,0,Outer Circle,footway,29.747751768179732,0,0,0.0,0.0,0
10,1427449277,2231863407,0,Outer Circle,unclassified,68.21680991556457,0,0,0.0,0.0,0
11,76587595,101817,0,,footway,225.69236003392945,0,0,0.0,0.0,0
12,1427449274,9801062068,0,,footway,30.583739941138674,0,0,0.0,0.0,0
13,1427449274,101817,0,,footway,84.76685522958238,0,0,0.0,0.0,0
14,1427449274,9801062085,0,,footway,17.664050788890492,0,0,0.0,0.0,0
15,1427449274,9801062069,0,,path,37.3012599684196,0,0,0.0,0.0,0
16,101824,293876439,0,,footway,107.45435556915679,0,0,0.0,0.0,0
17,101824,21667701,0,,footway,66.73651660191278,0,0,0.0,0.0,0
18,101824,293876261,0,,footway,353.3138341145488,0,0,0.0,0.0,0
19,101824,1427449267,0,,footway,71.44184852570189,0,0,0.0,0.0,0
20,293876439,101824,0,,footway,107.45435556915679,0,0,0.0,0.0,0
21,293876439,293876494,0,,footway,161.74344850828132,0,0,0.0,0.0,0
22,293876439,293876261,0,,footway,289.19975023571675,0,0,0.0,0.0,0
23,21667701,21669463,0,,footway,115.62427094740177,0,0,0.0,0.0,0
24,21667701,101824,0,,footway,66.73651660191278,0,0,0.0,0.0,0
25,21667701,1427449267,0,,footway,79.13206049632558,0,0,0.0,0.0,0
26,21667701,293876494,0,,footway,132.36632090446074,0,0,0.0,0.0,0
27,293876261,293876260,0,,footway,8.620099193302726,0,0,0.0,0.0,0
28,293876261,101824,0,,footway,353.31383411454885,0,0,0.0,0.0,0
29,293876261,293876439,0,,footway,289.19975023571675,35,0,121.02361766036348,0.0,0
30,1427449267,101824,0,,footway,71.44184852570189,0,0,0.0,0.0,0
31,1427449267,106214,0,,footway,27.14476321233566,0,0,0.0,0.0,0
32,1427449267,21667701,0,,footway,79.1320604963256,0,0,0.0,0.0,0
33,101831,905115460,0,Albany Street,primary,61.747776248566346,0,1,0.0,16.194915197828163,1
34,905115460,905115459,0,Gloucester Gate Mews,residential,19.173759962041174,0,1,0.0,52.15461140536482,1
35,905115460,357270616,0,Albany Street,primary,35.72091333373184,0,0,0.0,0.0,0
36,905115460,101831,0,Albany Street,primary,61.74777624856635,0,1,0.0,16.194915197828163,1
37,101839,9621133603,0,Prince Albert Road,primary,6.131924303733354,0,0,0.0,0.0,0
38,101839,9798228988,0,St Mark's Square,residential,7.599170484784458,0,0,0.0,0.0,0
39,9621133603,101839,0,Prince Albert Road,primary,6.131924303733354,0,0,0.0,0.0,0
40,9798228988,7309982185,0,,footway,7.452156635628367,0,0,0.0,0.0,0
41,9798228988,101839,0,St Mark's Square,residential,7.599170484784458,0,0,0.0,0.0,0
42,9798228988,6558277012,0,,footway,64.15541877328471,18,1,280.56866191785303,15.58714788432517,1
43,9798228988,5224073211,0,St Mark's Square,residential,56.50573035926061,13,0,230.0651618401647,0.0,0
44,101906,620020259,0,Lymington Road,tertiary,94.10352250771355,0,2,0.0,21.25318953746989,1
45,101906,1261953601,0,Finchley Road,trunk,76.7772244126881,25,0,325.6173974930583,0.0,0
46,101906,3012506222,0,"['Finchley Road', 'Arkwright Road']","['trunk', 'tertiary']",30.45998712706053,0,0,0.0,0.0,0
47,620020259,1693138267,0,Lymington Road,tertiary,24.547188575691134,0,1,0.0,40.737862786872924,1
48,620020259,13929063212,0,Wedgwood Walk,residential,32.603974630285016,0,0,0.0,0.0,0
49,620020259,101906,0,Lymington Road,tertiary,94.10352250771356,0,2,0.0,21.25318953746989,1
50,1261953601,1261953609,0,,service,136.08788724574882,0,0,0.0,0.0,0
51,1261953601,1261953609,1,Finchley Road,trunk,39.061079939153714,0,0,0.0,0.0,0
52,1261953601,101906,0,Finchley Road,trunk,76.7772244126881,25,0,325.6173974930583,0.0,0
53,3012506222,25291127,0,Arkwright Road,tertiary,110.4507707622137,0,3,0.0,27.161422046194808,1
54,3012506222,101906,0,"['Finchley Road', 'Arkwright Road']","['trunk', 'tertiary']",30.45998712706053,0,0,0.0,0.0,0
55,3012506222,10742190083,0,The Grand Parade,footway,176.67220311775924,0,1,0.0,5.660199976865965,1
56,101954,25744327,0,Hampstead Square,residential,53.76091169943033,6,1,111.60525017777141,18.60087502962857,1
57,101954,25744320,0,Heath Street,primary,11.069116159615128,0,0,0.0,0.0,0
58,101954,93076807,0,Heath Street,primary,87.52819430107537,0,1,0.0,11.424890093816478,1
59,25744327,101954,0,Hampstead Square,residential,53.76091169943033,6,1,111.60525017777141,18.60087502962857,1
60,25744327,25744328,0,Hampstead Square,residential,20.077734963739438,0,0,0.0,0.0,0
61,25744327,5342963182,0,,footway,27.015407346632813,0,1,0.0,37.015914184415934,1
62,25744320,101954,0,Heath Street,primary,11.069116159615128,0,1,0.0,90.34144963158197,1
63,25744320,5339727215,0,The Mount Square,residential,4.249494386756503,0,0,0.0,0.0,0
64,25744320,251983126,0,Heath Street,primary,41.03243772670107,0,1,0.0,24.370962472679736,1
65,93076807,13355458244,0,,footway,7.145950957779087,0,0,0.0,0.0,0
66,93076807,13355458243,0,Upper Terrace,residential,4.469259363629247,0,0,0.0,0.0,0
67,93076807,101954,0,Heath Street,primary,87.52819430107537,0,2,0.0,22.849780187632955,1
68,93076807,9740082463,0,Heath Street,primary,74.7734316399838,0,2,0.0,26.747468400668325,1
69,101956,5339727220,0,Heath Street,primary,1.970933540542305,0,0,0.0,0.0,0
70,101956,251983126,0,Heath Street,primary,39.681580834074396,0,1,0.0,25.200608921842765,1
71,101956,321373094,0,New End,residential,67.42717903016488,4,1,59.323258922199926,14.830814730549982,1
72,5339727220,13355458251,0,,steps,4.679094044744755,0,0,0.0,0.0,0
73,5339727220,5339727218,0,Heath Street,primary,3.3457733100445033,0,0,0.0,0.0,0
74,5339727220,101956,0,Heath Street,primary,1.970933540542305,0,0,0.0,0.0,0
75,251983126,5095635296,0,Elm Row,residential,55.81013493054702,1,0,17.917892534115012,0.0,0
76,251983126,101956,0,Heath Street,primary,39.681580834074396,0,2,0.0,50.40121784368553,1
77,251983126,25744320,0,Heath Street,primary,41.03243772670106,0,0,0.0,0.0,0
78,321373094,5095635296,0,,"['footway', 'steps']",41.48698524834683,0,1,0.0,24.103944743486704,1
79,321373094,5342963129,0,New End,residential,66.01371906354441,0,1,0.0,15.14836634241749,1
80,321373094,101956,0,New End,residential,67.42717903016488,4,2,59.323258922199926,29.661629461099963,1
81,101959,311167564,0,The Mount,residential,77.13922308257068,0,1,0.0,12.96357365343943,1
82,101959,5339727218,0,Heath Street,primary,96.04832280737631,0,2,0.0,20.822851888949426,1
83,101959,311167548,0,Heath Street,primary,11.890148952487973,0,1,0.0,84.10323571184139,1
84,311167564,25744316,0,The Mount,residential,2.577859504361639,0,0,0.0,0.0,0
85,311167564,101959,0,The Mount,residential,77.13922308257067,0,0,0.0,0.0,0
86,311167564,320691417,0,The Mount,residential,26.111445739886307,0,1,0.0,38.29738153764726,1
87,5339727218,5339727220,0,Heath Street,primary,3.3457733100445033,0,0,0.0,0.0,0
88,5339727218,320691417,0,The Mount,residential,4.087010366235978,0,0,0.0,0.0,0
89,5339727218,101959,0,Heath Street,primary,96.04832280737631,2,2,20.822851888949426,20.822851888949426,1
90,311167548,311167538,0,Holly Bush Steps,steps,46.882777602739495,0,3,0.0,63.98938274136516,1
91,311167548,311167515,0,Heath Street,primary,46.2372105129806,0,2,0.0,43.25520458113539,1
92,311167548,101959,0,Heath Street,primary,11.890148952487973,0,0,0.0,0.0,0
93,101964,321370398,0,Hampstead High Street,primary,14.091566782112599,0,1,0.0,70.96442968069167,1
94,101964,252146331,0,Flask Walk,pedestrian,69.30878208883296,0,3,0.0,43.284558025488096,1
95,101964,2094002753,0,Hampstead High Street,primary,41.24108850814402,0,0,0.0,0.0,0
96,321370398,101964,0,Hampstead High Street,primary,14.091566782112599,0,1,0.0,70.96442968069167,1
97,321370398,357443197,0,Hampstead High Street,primary,4.00973322338317,0,0,0.0,0.0,0
98,321370398,321370396,0,Bird in Hand Yard,footway,44.51005603587709,64,1,1437.8773180697222,22.46683309483941,1
99,252146331,1215764791,0,Back Lane,residential,82.98213748220057,6,2,72.30471740122364,24.101572467074547,1
100,252146331,101964,0,Flask Walk,pedestrian,69.30878208883294,0,2,0.0,28.85637201699207,1
101,252146331,1692393896,0,Flask Walk,residential,45.444384107749116,0,1,0.0,22.004919191532874,1
102,2094002753,25744145,0,Hampstead High Street,primary,16.997418549593384,0,0,0.0,0.0,0
103,2094002753,2094002739,0,,footway,19.068171286634655,0,0,0.0,0.0,0
104,2094002753,5482470133,0,,footway,12.695119100316886,0,0,0.0,0.0,0
105,2094002753,101964,0,Hampstead High Street,primary,41.24108850814402,0,0,0.0,0.0,0
106,101965,1159251281,0,Hampstead High Street,primary,3.212110856459143,0,0,0.0,0.0,0
107,101965,305081403,0,Hampstead High Street,primary,21.278335017041577,0,0,0.0,0.0,0
108,101965,357443247,0,Perrin's Court,pedestrian,112.38060986636478,24,2,213.55997292183352,17.796664410152793,1
109,1159251281,101965,0,Hampstead High Street,primary,3.212110856459143,0,0,0.0,0.0,0
110,1159251281,816440784,0,Hampstead High Street,primary,13.253898422921614,0,0,0.0,0.0,0
111,1159251281,1159251279,0,Coach House Yard,service,43.078774012112056,14,0,324.9860359550565,0.0,0
112,305081403,101966,0,Hampstead High Street,primary,49.719066264866946,19,5,382.1471605838663,100.56504225891219,1
113,305081403,305081177,0,Perrin's Lane,residential,127.10106637326064,3,2,23.60326380889544,15.735509205930294,1
114,305081403,101965,0,Hampstead High Street,primary,21.278335017041577,0,0,0.0,0.0,0
115,357443247,321673309,0,Heath Street,secondary,29.704591190810167,0,1,0.0,33.664829573866484,1
116,357443247,101965,0,Perrin's Court,pedestrian,112.38060986636476,24,3,213.55997292183355,26.694996615229194,1
117,357443247,305081177,0,Heath Street,secondary,24.264960449955172,0,1,0.0,41.21168884913008,1
118,101966,5335206776,0,Hampstead High Street,primary,12.4673899041173,0,0,0.0,0.0,0
119,101966,25498557,0,Gayton Road,residential,165.54145147988623,3,1,18.122349255615344,6.040783085205114,1
120,101966,305081403,0,Hampstead High Street,primary,49.719066264866946,4,3,80.45203380712975,60.33902535534732,1
121,5335206776,101966,0,Hampstead High Street,primary,12.4673899041173,0,0,0.0,0.0,0
122,5335206776,909308933,0,Hampstead High Street,primary,5.530509001219869,0,0,0.0,0.0,0
123,5335206776,321368966,0,Prince Arthur Road,residential,31.712378518187506,0,1,0.0,31.533427851414096,1
124,25498557,5339727184,0,Gayton Road,residential,92.5492572683127,0,2,0.0,21.61011399801656,1
125,25498557,101966,0,Gayton Road,residential,165.54145147988623,0,5,0.0,30.20391542602557,1
126,25498557,25498555,0,Gayton Crescent,residential,132.90407579974664,0,4,0.0,30.09689489152315,1
127,101968,25498631,0,Rosslyn Hill,primary,146.25934949019182,5,2,34.18584875037545,13.67433950015018,1
128,101968,25498562,0,Rosslyn Hill,primary,55.02596586770969,0,4,0.0,72.69295389773937,1
129,101968,1427123964,0,Thurlow Road,residential,48.240705828369556,0,0,0.0,0.0,0
130,101968,1426991311,0,Downshire Hill,residential,30.947185180135776,0,1,0.0,32.31311649764758,1
131,25498631,101968,0,Rosslyn Hill,primary,146.25934949019182,0,2,0.0,13.67433950015018,1
132,25498631,13168819379,0,Hampstead Hill Gardens,residential,327.37968814757255,15,9,45.81835875302828,27.491015251816968,1
133,25498631,1692355804,0,Rosslyn Hill,primary,86.89984477355988,0,0,0.0,0.0,0
134,25498562,1236969407,0,Rosslyn Hill,primary,7.945823367247947,0,0,0.0,0.0,0
135,25498562,25498560,0,Pilgrim's Lane,residential,122.61462857593229,0,4,0.0,32.62253490025373,1
136,25498562,101968,0,Rosslyn Hill,primary,55.02596586770969,0,5,0.0,90.86619237217421,1
137,1427123964,1427123933,0,,service,12.289954641923567,0,0,0.0,0.0,0
138,1427123964,1692355829,0,Thurlow Road,residential,36.23733923588319,0,0,0.0,0.0,0
139,1427123964,101968,0,Thurlow Road,residential,48.240705828369556,0,1,0.0,20.729381604775703,1
140,1426991311,1426991107,0,,service,34.278612563892366,0,0,0.0,0.0,0
141,1426991311,25498527,0,Downshire Hill,residential,141.32735984985848,0,5,0.0,35.37885378536637,1
142,1426991311,101968,0,Downshire Hill,residential,30.947185180135776,0,1,0.0,32.31311649764758,1
143,101975,9738697926,0,Steeles Studios,service,6.67521531398827,0,0,0.0,0.0,0
144,9738697926,101975,0,Steeles Studios,service,6.67521531398827,0,0,0.0,0.0,0
145,9738697926,12163618192,0,Steeles Studios,service,78.05309589239496,0,0,0.0,0.0,0
146,9738697926,12941651893,0,Haverstock Hill,footway,77.97655237023791,0,1,0.0,12.824367961947493,1
147,9738697926,12151570211,0,Haverstock Hill,footway,54.847538013429016,0,1,0.0,18.23235893934122,1
148,101977,5821555456,0,Haverstock Hill,primary,7.70536242685656,0,0,0.0,0.0,0
149,5821555456,730929961,0,Haverstock Hill,primary,19.014818890863392,0,0,0.0,0.0,0
150,5821555456,101977,0,Haverstock Hill,primary,7.70536242685656,0,0,0.0,0.0,0
151,5821555456,7623137697,0,,footway,11.218373449174855,0,0,0.0,0.0,0
152,5821555456,12163620370,0,Haverstock Hill,footway,7.113637809986793,0,0,0.0,0.0,0
153,103928,13847176071,0,Cambridge Gate,residential,7.319372922515019,0,0,0.0,0.0,0
154,13847176071,103928,0,Cambridge Gate,residential,7.319372922515019,0,0,0.0,0.0,0
155,13847176071,12416627713,0,,footway,2.847006034188632,0,0,0.0,0.0,0
156,13847176071,13847176072,0,,footway,76.47390620522583,0,0,0.0,0.0,0
157,13847176071,13847176072,1,Cambridge Gate,residential,96.87230674865823,8,0,82.58294107475464,0.0,0
158,104309,13842060051,0,Coley Street,unclassified,9.125747390187977,0,0,0.0,0.0,0
159,104309,6943750668,0,Gray's Inn Road,primary,48.683134178725844,0,1,0.0,20.54099467648885,1
160,104309,8836172413,0,Gray's Inn Road,primary,45.08132850915328,0,0,0.0,0.0,0
161,13842060051,13246508325,0,Coley Street,unclassified,66.87115645596796,0,0,0.0,0.0,0
162,13842060051,104309,0,Coley Street,unclassified,9.125747390187977,0,0,0.0,0.0,0
163,13842060051,13842060037,0,,footway,3.9447613353196904,0,0,0.0,0.0,0
164,13842060051,13842060056,0,,footway,4.188733925047935,0,0,0.0,0.0,0
165,6943750668,104310,0,Gray's Inn Road,primary,14.969139675770563,0,0,0.0,0.0,0
166,6943750668,104309,0,Gray's Inn Road,primary,48.683134178725844,0,1,0.0,20.54099467648885,1
167,6943750668,10547761262,0,,footway,4.901616565236574,0,0,0.0,0.0,0
168,6943750668,10547761258,0,,footway,12.11961609726082,0,0,0.0,0.0,0
169,8836172413,104309,0,Gray's Inn Road,primary,45.08132850915328,0,0,0.0,0.0,0
170,8836172413,6335504269,0,Gray's Inn Road,primary,65.7464337981703,0,0,0.0,0.0,0
171,8836172413,13842060026,0,,service,9.560075587748083,0,0,0.0,0.0,0
172,104310,9289220058,0,Roger Street,unclassified,9.112831342313797,0,0,0.0,0.0,0
173,104310,6943750661,0,Gray's Inn Road,primary,42.304763705712496,0,0,0.0,0.0,0
174,104310,6943750668,0,Gray's Inn Road,primary,14.969139675770561,0,0,0.0,0.0,0
175,9289220058,13838180925,0,Roger Street,unclassified,31.995972423198083,0,0,0.0,0.0,0
176,9289220058,10547759970,0,,footway,2.745094824177042,0,0,0.0,0.0,0
177,9289220058,104310,0,Roger Street,unclassified,9.112831342313797,0,0,0.0,0.0,0
178,9289220058,13838180926,0,,footway,3.493444080396803,0,0,0.0,0.0,0
179,6943750661,12745548342,0,Elm Street,unclassified,7.5367904385677305,0,0,0.0,0.0,0
180,6943750661,13838331474,0,Gray's Inn Road,primary,4.174389529543409,0,0,0.0,0.0,0
181,6943750661,104310,0,Gray's Inn Road,primary,42.3047637057125,0,0,0.0,0.0,0
182,106201,13847176081,0,Chester Gate,residential,5.97785871442329,0,0,0.0,0.0,0
183,106201,294161405,0,Albany Street,primary,14.114771459821286,0,0,0.0,0.0,0
184,106201,7198121177,0,Albany Street,primary,9.95382997128418,0,0,0.0,0.0,0
185,13847176081,106201,0,Chester Gate,residential,5.97785871442329,0,0,0.0,0.0,0
186,13847176081,294158423,0,Chester Gate,residential,24.914389298957175,0,0,0.0,0.0,0
187,13847176081,12336045028,0,,footway,3.8152208553771607,0,0,0.0,0.0,0
188,13847176081,13851315564,0,,footway,3.167330470821971,0,0,0.0,0.0,0
189,294161405,106201,0,Albany Street,primary,14.114771459821286,0,0,0.0,0.0,0
190,294161405,7198121177,0,Albany Street,primary,22.371677020209866,0,0,0.0,0.0,0
191,294161405,7198121177,1,,footway,11.034889430230503,0,0,0.0,0.0,0
192,7198121177,9383618272,0,,footway,7.306479375344541,0,0,0.0,0.0,0
193,7198121177,294161405,0,,footway,11.034889430230503,0,0,0.0,0.0,0
194,7198121177,294161405,1,Albany Street,primary,22.37167702020987,0,0,0.0,0.0,0
195,7198121177,106201,0,Albany Street,primary,9.95382997128418,0,0,0.0,0.0,0
196,106214,1427449267,0,,footway,27.14476321233566,0,0,0.0,0.0,0
197,106214,4544836447,0,Outer Circle,unclassified,170.4359014722122,2,0,11.734616842602724,0.0,0
198,106214,1427449256,0,Outer Circle,unclassified,251.05910893851,9,0,35.848131693179475,0.0,0
199,4544836447,6952962804,0,Outer Circle,unclassified,129.2150770689153,0,0,0.0,0.0,0
200,4544836447,106214,0,Outer Circle,unclassified,170.43590147221224,2,0,11.734616842602723,0.0,0
201,4544836447,13842118442,0,Chester Road,unclassified,8.68126575102715,0,0,0.0,0.0,0
202,1427449256,1427449254,0,,footway,17.885715634482484,0,0,0.0,0.0,0
203,1427449256,106214,0,Outer Circle,unclassified,251.05910893851,9,0,35.848131693179475,0.0,0
204,1427449256,292939261,0,Outer Circle,unclassified,103.31928466806318,0,0,0.0,0.0,0
205,107317,4307345495,0,Cleveland Street,tertiary,32.87231065832929,0,0,0.0,0.0,0
206,107317,4307345276,0,Cleveland Street,tertiary,6.33893492734069,0,0,0.0,0.0,0
207,4307345495,10597933015,0,,service,3.627914414148412,0,0,0.0,0.0,0
208,4307345495,4307345497,0,Cleveland Street,tertiary,3.565765453349003,0,0,0.0,0.0,0
209,4307345495,107317,0,Cleveland Street,tertiary,32.87231065832929,0,0,0.0,0.0,0
210,4307345276,10600115027,0,Cleveland Street,tertiary,5.120432099470672,0,0,0.0,0.0,0
211,4307345276,107317,0,Cleveland Street,tertiary,6.33893492734069,0,0,0.0,0.0,0
212,4307345276,12379295903,0,,footway,5.948420390340348,0,0,0.0,0.0,0
213,107823,12437938219,0,Goslett Yard,service,6.286649068807541,0,0,0.0,0.0,0
214,12437938219,107823,0,Goslett Yard,service,6.286649068807541,0,0,0.0,0.0,0
215,12437938219,12437938217,0,,footway,6.70526018797183,0,0,0.0,0.0,0
216,12437938219,12437938213,0,,footway,2.906079790268354,0,0,0.0,0.0,0
217,107830,11747638082,0,High Holborn,primary,5.204293785591159,0,0,0.0,0.0,0
218,11747638082,107830,0,High Holborn,primary,5.204293785591159,0,0,0.0,0.0,0
219,11747638082,11747638084,0,High Holborn,primary,3.9893079947776755,0,0,0.0,0.0,0
220,11747638082,5986763692,0,,footway,14.577884178354896,0,2,0.0,137.1941205960177,1
221,11747638082,12280830498,0,,footway,14.275432394246192,0,0,0.0,0.0,0
222,11747638082,5986781951,0,,footway,16.605338817648782,0,0,0.0,0.0,0
223,11747638082,5986763691,0,,footway,12.538946135617334,0,0,0.0,0.0,0
